Body Frame,Type of Hair,Color of Hair,Skin,Complexion,Body Weight,Nails,Size and Color of the Teeth,Pace of Performing Work,Mental Activity,Memory,Sleep Pattern,Weather Conditions,Reaction under Adverse Situations,Mood,Eating Habit,Hunger,Body Temperature,Joints,Nature,Body Energy,Quality of Voice,Body Odor
Well Built,Dry,Grey,"Soft,Sweating",Pinkish,Underweight,Redish,"Large,White",Fast,Aggressive,Good Memory,Sleepy,Dislike Heat,Anger,Changes Quickly,Irregular Chewing,Skips Meal,Less than Normal,Weak,"Forgiving,Grateful",Medium,Deep,Strong
Thin and Lean,Normal,Brown,"Moist,Greasy",Dark,Overweight,Blackish,"Medium,Yellowish",Medium,Aggressive,Long Term,Sleepy,Dislike Heat,Calm,Changes Quickly,Improper Chewing,Sudden and Sharp,Normal,Heavy,"Forgiving,Grateful",Medium,Deep,Strong
Well Built,Dry,Brown,"Dry,Rough",Dark,Underweight,Pinkish,"Medium,Yellowish",Fast,Restless,Good Memory,Moderate,Dislike Moist,Anxiety,Constant,Proper Chewing,Skips Meal,More than Normal,Weak,"Jealous,Fearful",Low,Fast,Strong
Thin and Lean,Greasy,Brown,"Soft,Sweating",Pinkish,Overweight,Pinkish,"Irregular,Blackish",Slow,Restless,Long Term,Moderate,Dislike Cold,Anger,Constant,Irregular Chewing,Sudden and Sharp,Normal,Heavy,"Forgiving,Grateful",Medium,Rough,Negligible
Well Built,Normal,Black,"Soft,Sweating",Pinkish,Normal,Blackish,"Medium,Yellowish",Fast,Restless,Good Memory,Moderate,Dislike Heat,Anxiety,Changes Slowly,Improper Chewing,Irregular,More than Normal,Healthy,"Forgiving,Grateful",Low,Deep,Negligible
Thin and Lean,Greasy,Brown,"Moist,Greasy",Pinkish,Underweight,Redish,"Large,White",Medium,Restless,Good Memory,Moderate,Dislike Cold,Anxiety,Changes Quickly,Improper Chewing,Sudden and Sharp,Normal,Heavy,"Forgiving,Grateful",Low,Fast,Negligible
Well Built,Greasy,Black,"Soft,Sweating",Pinkish,Underweight,Pinkish,"Irregular,Blackish",Slow,Stable,Good Memory,Sleepy,Dislike Cold,Calm,Changes Slowly,Proper Chewing,Irregular,Less than Normal,Weak,"Jealous,Fearful",Medium,Rough,Strong
Medium,Greasy,Brown,"Dry,Rough",Dark,Underweight,Pinkish,"Irregular,Blackish",Medium,Stable,Long Term,Moderate,Dislike Cold,Anxiety,Constant,Improper Chewing,Sudden and Sharp,Normal,Weak,"Jealous,Fearful",Low,Rough,Negligible
Medium,Normal,Black,"Moist,Greasy",Pinkish,Overweight,Blackish,"Medium,Yellowish",Fast,Restless,Good Memory,Sleepy,Dislike Moist,Anxiety,Changes Slowly,Improper Chewing,Sudden and Sharp,Normal,Weak,"Forgiving,Grateful",High,Fast,Mild
Well Built,Greasy,Brown,"Soft,Sweating",Pinkish,Normal,Redish,"Large,White",Slow,Restless,Short term,Less,Dislike Heat,Anger,Constant,Irregular Chewing,Sudden and Sharp,More than Normal,Heavy,"Forgiving,Grateful",Medium,Rough,Strong
Medium,Dry,Brown,"Dry,Rough",Dark,Overweight,Pinkish,"Medium,Yellowish",Fast,Restless,Good Memory,Sleepy,Dislike Cold,Anxiety,Changes Slowly,Irregular Chewing,Irregular,Less than Normal,Healthy,"Jealous,Fearful",Low,Fast,Negligible
Thin and Lean,Greasy,Black,"Dry,Rough",Dark,Overweight,Redish,"Large,White",Medium,Aggressive,Good Memory,Less,Dislike Moist,Anger,Constant,Irregular Chewing,Irregular,Normal,Weak,"Jealous,Fearful",High,Deep,Strong
